,allInPings,assistMePings,assists,baronKills,basicPings,bountyLevel,challenges,champExperience,champLevel,championId,championName,championTransform,commandPings,consumablesPurchased,damageDealtToBuildings,damageDealtToObjectives,damageDealtToTurrets,damageSelfMitigated,dangerPings,deaths,detectorWardsPlaced,doubleKills,dragonKills,eligibleForProgression,enemyMissingPings,enemyVisionPings,firstBloodAssist,firstBloodKill,firstTowerAssist,firstTowerKill,gameEndedInEarlySurrender,gameEndedInSurrender,getBackPings,goldEarned,goldSpent,holdPings,individualPosition,inhibitorKills,inhibitorTakedowns,inhibitorsLost,item0,item1,item2,item3,item4,item5,item6,itemsPurchased,killingSprees,kills,lane,largestCriticalStrike,largestKillingSpree,largestMultiKill,longestTimeSpentLiving,magicDamageDealt,magicDamageDealtToChampions,magicDamageTaken,missions,needVisionPings,neutralMinionsKilled,nexusKills,nexusLost,nexusTakedowns,objectivesStolen,objectivesStolenAssists,onMyWayPings,participantId,pentaKills,perks,physicalDamageDealt,physicalDamageDealtToChampions,physicalDamageTaken,placement,playerAugment1,playerAugment2,playerAugment3,playerAugment4,playerScore0,playerScore1,playerScore10,playerScore11,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,playerSubteamId,profileIcon,pushPings,puuid,quadraKills,riotIdGameName,riotIdTagline,role,sightWardsBoughtInGame,spell1Casts,spell2Casts,spell3Casts,spell4Casts,subteamPlacement,summoner1Casts,summoner1Id,summoner2Casts,summoner2Id,summonerId,summonerLevel,summonerName,teamEarlySurrendered,teamId,teamPosition,timeCCingOthers,timePlayed,totalAllyJungleMinionsKilled,totalDamageDealt,totalDamageDealtToChampions,totalDamageShieldedOnTeammates,totalDamageTaken,totalEnemyJungleMinionsKilled,totalHeal,totalHealsOnTeammates,totalMinionsKilled,totalTimeCCDealt,totalTimeSpentDead,totalUnitsHealed,tripleKills,trueDamageDealt,trueDamageDealtToChampions,trueDamageTaken,turretKills,turretTakedowns,turretsLost,unrealKills,visionClearedPings,visionScore,visionWardsBoughtInGame,wardsKilled,wardsPlaced,win
epicMonsterKillsNearEnemyJungler,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
epicMonsterKillsWithin30SecondsOfSpawn,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
epicMonsterSteals,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
epicMonsterStolenWithoutSmite,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
firstTurretKilled,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
firstTurretKilledTime,1,17,10,0,0,0,908.0067254999999,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
flawlessAces,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
fullTeamTakedown,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
gameLength,1,17,10,0,0,0,2199.6913081,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
getTakedownsInAllLanesEarlyJungleAsLaner,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
goldPerMinute,1,17,10,0,0,0,378.87184906917986,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
hadOpenNexus,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
immobilizeAndKillWithAlly,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
initialBuffCount,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
initialCrabCount,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
jungleCsBefore10Minutes,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
junglerTakedownsNearDamagedEpicMonster,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
kTurretsDestroyedBeforePlatesFall,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
kda,1,17,10,0,0,0,1.4166666666666667,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killAfterHiddenWithAlly,1,17,10,0,0,0,1,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killParticipation,1,17,10,0,0,0,0.3148148148148148,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killedChampTookFullTeamDamageSurvived,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killingSprees,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killsNearEnemyTurret,1,17,10,0,0,0,3,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killsOnOtherLanesEarlyJungleAsLaner,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
killsOnRecentlyHealedByAramPack,1,17,10,0,0,0,0,18487,18,17,Teemo,0,0,4,6230,9237,6230,16561,0,12,0,0,0,True,3,2,False,True,False,False,False,True,0,13890,12200,0,TOP,0,0,2,1058,3115,6653,3006,3165,3145,3340,22,1,7,JUNGLE,0,2,1,347,136936,19297,7118,,0,0,0,0,0,0,0,3,1,0,,33105,2093,21459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5898,0,W9CCeQSAWZzRC4oa7HIyhfcDbub49Lmbx5CVpIWy9r8DT1AX9LTmZ0Rbuegt6Y4iTNTcNGNks_oYtA,0,KevXin99,NA1,NONE,0,66,71,0,79,0,6,4,7,7,HBjFcXIDtQ_NsxfBk2F929_PXFLQ5fycTuEXEqdR7PCzR-CyzFLs-G-M-A,91,KevXin99,False,100,TOP,66,2199,0,182722,21502,0,30064,0,3143,611,176,637,404,4,0,12681,111,1486,1,1,9,0,0,21,0,2,11,False
